"OccNonMetID","Area_Title","Primary_State","Occupation_Title","Occupation_Group","Total_Employees_NonMet","Employee_PCT_NonMet","Jobs_1000_NonMet","Loc_Quotient_NonMet","H_Mean_NonMet","A_Mean_NonMet","Mean_PCT_NonMet","H_PCT10_NonMet","H_PCT25_NonMet","H_Median_NonMet","H_PCT75_NonMet","H_PCT90_NonMet","A_PCT10_NonMet","A_PCT25_NonMet","A_Median_NonMet","A_PCT75_NonMet","A_PCT90_NonMet","Annual_NonMet","Hourly_NonMet"
43756,Western Washington nonmetropolitan area,WA,Instructional Coordinators,detailed,80,12.40,0.68,0.52,32.41,67410.00,4.20,18.32,22.80,28.90,44.00,48.60,38110.00,47430.00,60110.00,91520.00,101090.00,"",""
43757,Western Washington nonmetropolitan area,WA,"Teaching Assistants, Except Postsecondary",detailed,1980,1.90,16.54,1.96,,39200.00,0.90,,,,,,29540.00,36580.00,37140.00,46300.00,47200.00,TRUE,""
43758,Western Washington nonmetropolitan area,WA,"Educational Instruction and Library Workers, All Other",detailed,50,21.60,0.42,0.38,25.68,53420.00,4.80,14.29,17.76,23.25,36.30,38.07,29730.00,36940.00,48350.00,75510.00,79190.00,"",""
43759,Western Washington nonmetropolitan area,WA,"Arts, Design, Entertainment, Sports, and Media Occupations",major,1080,6.30,9.03,0.70,23.50,48880.00,1.70,14.34,17.16,18.85,27.28,36.97,29820.00,35690.00,39210.00,56740.00,76900.00,"",""
43760,Western Washington nonmetropolitan area,WA,Floral Designers,detailed,130,7.30,1.07,4.19,15.67,32600.00,1.40,14.09,14.09,14.27,17.16,17.91,29310.00,29310.00,29680.00,35690.00,37260.00,"",""
43761,Western Washington nonmetropolitan area,WA,Graphic Designers,detailed,110,15.00,0.94,0.65,23.99,49900.00,14.70,14.87,17.74,22.40,26.95,35.09,30940.00,36900.00,46590.00,56050.00,72990.00,"",""
43762,Western Washington nonmetropolitan area,WA,Merchandise Displayers and Window Trimmers,detailed,80,14.90,0.66,0.58,17.24,35860.00,1.80,14.34,14.50,17.23,18.23,21.72,29820.00,30150.00,35840.00,37910.00,45180.00,"",""
43763,Western Washington nonmetropolitan area,WA,Producers and Directors,detailed,30,11.70,0.28,0.29,28.50,59280.00,7.90,14.88,18.63,24.06,34.54,44.83,30950.00,38750.00,50050.00,71850.00,93250.00,"",""
43764,Western Washington nonmetropolitan area,WA,Coaches and Scouts,detailed,430,7.30,3.62,2.63,,47530.00,1.70,,,,,,30510.00,38030.00,46700.00,54960.00,71360.00,TRUE,""
43765,Western Washington nonmetropolitan area,WA,"News Analysts, Reporters, and Journalists",detailed,30,11.90,0.25,0.91,18.44,38360.00,3.20,14.18,14.59,18.01,18.41,23.53,29500.00,30340.00,37460.00,38290.00,48940.00,"",""
43766,Western Washington nonmetropolitan area,WA,Public Relations Specialists,detailed,70,18.40,0.58,0.33,35.12,73060.00,4.70,22.12,23.89,32.11,38.61,62.40,46000.00,49680.00,66790.00,80300.00,129790.00,"",""
43767,Western Washington nonmetropolitan area,WA,Editors,detailed,30,20.90,0.25,0.40,27.05,56260.00,9.20,14.57,17.85,23.74,29.71,46.70,30310.00,37120.00,49390.00,61790.00,97130.00,"",""
43768,Western Washington nonmetropolitan area,WA,Healthcare Practitioners and Technical Occupations,major,6650,1.60,55.62,0.89,46.10,95890.00,1.60,21.52,28.91,37.79,49.29,66.07,44770.00,60130.00,78610.00,102510.00,137430.00,"",""
43769,Western Washington nonmetropolitan area,WA,Chiropractors,detailed,40,12.40,0.31,1.22,28.53,59350.00,6.90,13.87,15.99,29.01,29.11,37.18,28840.00,33260.00,60340.00,60550.00,77330.00,"",""
43770,Western Washington nonmetropolitan area,WA,"Dentists, General",detailed,110,13.60,0.90,1.16,87.40,181790.00,7.20,58.48,78.68,78.68,99.65,,121630.00,163650.00,163650.00,207270.00,,"",""
43771,Western Washington nonmetropolitan area,WA,Dietitians and Nutritionists,detailed,40,6.90,0.34,0.71,33.52,69720.00,2.40,22.64,28.50,35.88,37.33,46.87,47090.00,59280.00,74640.00,77650.00,97480.00,"",""
43772,Western Washington nonmetropolitan area,WA,Optometrists,detailed,30,8.00,0.26,0.94,49.72,103410.00,6.10,30.05,33.83,47.49,57.24,73.29,62500.00,70360.00,98780.00,119060.00,152440.00,"",""
43773,Western Washington nonmetropolitan area,WA,Pharmacists,detailed,310,3.30,2.58,1.16,62.58,130170.00,1.10,49.93,58.93,61.17,73.31,78.27,103850.00,122570.00,127240.00,152480.00,162800.00,"",""
43774,Western Washington nonmetropolitan area,WA,Physician Assistants,detailed,110,8.00,0.94,1.00,63.36,131800.00,1.60,48.12,57.71,61.35,76.21,78.27,100100.00,120040.00,127610.00,158510.00,162800.00,"",""
43775,Western Washington nonmetropolitan area,WA,Occupational Therapists,detailed,60,10.30,0.51,0.56,46.18,96060.00,3.30,36.21,45.86,47.11,48.78,59.83,75320.00,95390.00,97980.00,101460.00,124440.00,"",""
43776,Western Washington nonmetropolitan area,WA,Physical Therapists,detailed,260,4.80,2.18,1.36,47.04,97840.00,1.00,36.47,37.43,47.18,54.85,60.80,75850.00,77860.00,98130.00,114090.00,126460.00,"",""
43777,Western Washington nonmetropolitan area,WA,Respiratory Therapists,detailed,90,6.90,0.77,0.81,34.84,72470.00,0.40,28.50,29.47,35.88,37.33,46.87,59280.00,61300.00,74640.00,77650.00,97480.00,"",""
43778,Western Washington nonmetropolitan area,WA,Speech-Language Pathologists,detailed,80,5.20,0.70,0.67,44.16,91860.00,2.00,29.55,37.33,45.96,47.32,54.28,61470.00,77650.00,95590.00,98430.00,112900.00,"",""
43779,Western Washington nonmetropolitan area,WA,Veterinarians,detailed,90,18.40,0.76,1.39,49.62,103220.00,3.50,35.16,37.90,47.14,58.16,77.07,73130.00,78830.00,98050.00,120980.00,160310.00,"",""
43780,Western Washington nonmetropolitan area,WA,Registered Nurses,detailed,2290,1.70,19.14,0.89,43.99,91500.00,0.50,30.00,37.16,45.53,48.56,59.83,62390.00,77290.00,94690.00,100990.00,124440.00,"",""
43781,Western Washington nonmetropolitan area,WA,Nurse Practitioners,detailed,160,9.70,1.35,0.81,58.37,121410.00,2.70,47.74,48.56,61.17,61.98,75.83,99290.00,101010.00,127240.00,128920.00,157720.00,"",""
43782,Western Washington nonmetropolitan area,WA,Family Medicine Physicians,detailed,60,29.70,0.51,0.69,,,6.50,,,,,,,,,,,"",""
43783,Western Washington nonmetropolitan area,WA,"Pediatricians, General",detailed,40,34.30,0.33,1.37,91.16,189610.00,12.70,79.10,79.10,79.10,,,164530.00,164530.00,164530.00,,,"",""
43784,Western Washington nonmetropolitan area,WA,"Physicians, All Other",detailed,180,12.10,1.53,0.84,127.19,264560.00,3.70,38.67,79.69,,,,80430.00,165740.00,,,,"",""
43785,Western Washington nonmetropolitan area,WA,Dental Hygienists,detailed,190,8.80,1.61,1.09,50.79,105650.00,2.40,45.38,46.01,47.49,59.65,60.92,94380.00,95700.00,98790.00,124070.00,126720.00,"",""
43786,Western Washington nonmetropolitan area,WA,Clinical Laboratory Technologists and Technicians,detailed,160,2.00,1.33,0.59,34.09,70910.00,0.50,18.57,23.65,35.88,38.22,46.87,38620.00,49190.00,74640.00,79500.00,97480.00,"",""
43787,Western Washington nonmetropolitan area,WA,Diagnostic Medical Sonographers,detailed,80,3.10,0.67,1.19,41.43,86180.00,0.60,23.35,36.06,45.53,47.11,47.90,48570.00,75000.00,94690.00,97980.00,99620.00,"",""
43788,Western Washington nonmetropolitan area,WA,Radiologic Technologists and Technicians,detailed,180,3.20,1.47,0.95,37.12,77210.00,1.60,28.50,29.47,36.96,45.01,46.87,59280.00,61300.00,76880.00,93610.00,97480.00,"",""
43789,Western Washington nonmetropolitan area,WA,Magnetic Resonance Imaging Technologists,detailed,30,3.10,0.26,0.98,43.18,89810.00,0.60,29.72,37.16,45.53,47.90,57.37,61810.00,77290.00,94690.00,99620.00,119330.00,"",""
43790,Western Washington nonmetropolitan area,WA,Emergency Medical Technicians,detailed,230,9.40,1.93,1.68,17.91,37250.00,2.30,14.10,14.12,17.51,17.87,22.55,29330.00,29370.00,36420.00,37180.00,46910.00,"",""
43791,Western Washington nonmetropolitan area,WA,Paramedics,detailed,230,33.50,1.91,2.79,32.25,67070.00,13.80,18.05,22.86,29.19,46.86,46.86,37540.00,47560.00,60720.00,97460.00,97460.00,"",""
43792,Western Washington nonmetropolitan area,WA,Pharmacy Technicians,detailed,330,3.80,2.74,0.88,20.93,43530.00,0.70,14.54,17.63,21.82,22.21,27.94,30250.00,36660.00,45390.00,46190.00,58120.00,"",""
43793,Western Washington nonmetropolitan area,WA,Surgical Technologists,detailed,70,4.10,0.62,0.80,26.60,55330.00,0.80,22.43,22.60,23.21,29.09,36.58,46650.00,47000.00,48270.00,60500.00,76080.00,"",""
43794,Western Washington nonmetropolitan area,WA,Veterinary Technologists and Technicians,detailed,100,10.10,0.82,0.97,20.89,43460.00,1.50,17.48,17.73,21.52,22.02,27.32,36360.00,36870.00,44770.00,45810.00,56820.00,"",""
43795,Western Washington nonmetropolitan area,WA,Ophthalmic Medical Technicians,detailed,50,44.60,0.38,0.82,20.26,42140.00,2.20,17.48,17.48,22.04,22.04,22.05,36360.00,36360.00,45850.00,45850.00,45850.00,"",""
43796,Western Washington nonmetropolitan area,WA,Licensed Practical and Licensed Vocational Nurses,detailed,340,4.30,2.81,0.62,29.27,60880.00,1.00,22.60,27.78,28.89,32.60,36.58,47000.00,57780.00,60090.00,67810.00,76080.00,"",""
43797,Western Washington nonmetropolitan area,WA,Medical Records Specialists,detailed,130,4.40,1.12,0.87,23.82,49550.00,0.90,17.67,18.20,22.58,28.24,29.70,36750.00,37850.00,46970.00,58740.00,61770.00,"",""
43798,Western Washington nonmetropolitan area,WA,"Opticians, Dispensing",detailed,70,8.30,0.56,1.08,20.91,43490.00,2.60,14.02,17.61,21.13,22.81,27.94,29170.00,36630.00,43950.00,47440.00,58120.00,"",""
43799,Western Washington nonmetropolitan area,WA,"Health Technologists and Technicians, All Other",detailed,160,11.30,1.32,1.32,23.96,49850.00,3.20,17.58,17.87,22.43,28.24,37.29,36570.00,37180.00,46660.00,58750.00,77560.00,"",""
43800,Western Washington nonmetropolitan area,WA,Health Information Technologists and Medical Registrars,detailed,40,4.80,0.34,1.26,24.59,51140.00,1.40,17.75,22.43,22.66,28.78,35.42,36930.00,46650.00,47120.00,59860.00,73680.00,"",""
43801,Western Washington nonmetropolitan area,WA,Healthcare Support Occupations,major,4460,9.50,37.28,0.80,18.49,38460.00,1.60,14.24,14.64,17.56,20.52,22.82,29620.00,30460.00,36520.00,42690.00,47470.00,"",""
43802,Western Washington nonmetropolitan area,WA,Home Health and Personal Care Aides,detailed,1670,22.20,13.96,0.58,16.31,33920.00,1.70,14.23,14.26,17.23,17.50,18.03,29590.00,29670.00,35840.00,36400.00,37500.00,"",""
43803,Western Washington nonmetropolitan area,WA,Nursing Assistants,detailed,980,10.90,8.23,0.88,17.57,36550.00,1.00,14.26,14.64,17.52,18.04,22.26,29670.00,30460.00,36440.00,37520.00,46300.00,"",""
43804,Western Washington nonmetropolitan area,WA,Physical Therapist Assistants,detailed,110,9.10,0.90,1.35,24.93,51840.00,4.90,14.35,18.05,23.72,29.17,36.90,29860.00,37550.00,49340.00,60670.00,76740.00,"",""
43805,Western Washington nonmetropolitan area,WA,Physical Therapist Aides,detailed,40,20.30,0.30,0.98,15.63,32520.00,3.80,14.23,14.40,14.41,16.71,17.99,29590.00,29950.00,29960.00,34760.00,37430.00,"",""
43806,Western Washington nonmetropolitan area,WA,Massage Therapists,detailed,110,13.00,0.91,1.58,30.38,63190.00,4.60,16.81,28.55,29.60,36.42,45.23,34960.00,59380.00,61570.00,75750.00,94070.00,"",""
43807,Western Washington nonmetropolitan area,WA,Dental Assistants,detailed,380,5.90,3.21,1.30,21.54,44810.00,3.50,17.67,18.15,22.30,22.72,27.44,36750.00,37760.00,46390.00,47250.00,57070.00,"",""
43808,Western Washington nonmetropolitan area,WA,Medical Assistants,detailed,550,5.70,4.60,0.89,20.71,43070.00,0.80,17.48,17.58,22.04,22.78,23.45,36360.00,36570.00,45850.00,47380.00,48780.00,"",""
43809,Western Washington nonmetropolitan area,WA,Medical Equipment Preparers,detailed,40,16.40,0.36,0.82,20.28,42190.00,2.20,17.41,17.58,18.11,22.26,28.31,36210.00,36570.00,37660.00,46300.00,58870.00,"",""
43810,Western Washington nonmetropolitan area,WA,Pharmacy Aides,detailed,80,9.10,0.67,2.16,16.35,34000.00,1.10,13.94,14.31,16.38,18.03,21.91,28990.00,29760.00,34080.00,37500.00,45580.00,"",""
43811,Western Washington nonmetropolitan area,WA,Veterinary Assistants and Laboratory Animal Caretakers,detailed,170,8.60,1.42,2.02,15.91,33090.00,1.60,13.75,14.09,14.45,17.32,17.83,28590.00,29310.00,30060.00,36020.00,37090.00,"",""
43812,Western Washington nonmetropolitan area,WA,Phlebotomists,detailed,120,2.80,1.03,1.09,20.53,42700.00,0.70,17.58,17.85,22.26,22.26,22.82,36570.00,37120.00,46300.00,46300.00,47470.00,"",""
43813,Western Washington nonmetropolitan area,WA,"Healthcare Support Workers, All Other",detailed,160,10.70,1.38,1.79,20.33,42280.00,2.20,16.34,17.48,18.30,22.82,27.94,33990.00,36360.00,38070.00,47470.00,58120.00,"",""
43814,Western Washington nonmetropolitan area,WA,Protective Service Occupations,major,4380,6.10,36.67,1.53,30.52,63490.00,3.70,16.78,22.41,29.65,36.93,48.42,34910.00,46620.00,61670.00,76820.00,100710.00,"",""
43815,Western Washington nonmetropolitan area,WA,First-Line Supervisors of Correctional Officers,detailed,280,1.50,2.35,6.08,36.77,76470.00,0.10,31.74,34.29,36.01,38.60,40.99,66020.00,71320.00,74900.00,80280.00,85260.00,"",""
43816,Western Washington nonmetropolitan area,WA,First-Line Supervisors of Police and Detectives,detailed,140,8.10,1.18,1.30,47.87,99580.00,1.70,37.69,38.41,49.54,51.63,58.11,78400.00,79890.00,103040.00,107390.00,120860.00,"",""
43817,Western Washington nonmetropolitan area,WA,First-Line Supervisors of Firefighting and Prevention Workers,detailed,90,32.20,0.72,1.26,49.72,103410.00,6.20,35.86,38.22,51.03,60.94,61.38,74590.00,79500.00,106140.00,126750.00,127680.00,"",""
43818,Western Washington nonmetropolitan area,WA,First-Line Supervisors of Security Workers,detailed,40,14.10,0.30,0.76,24.81,51610.00,4.20,18.02,19.40,23.49,28.20,38.86,37480.00,40360.00,48850.00,58660.00,80820.00,"",""
43819,Western Washington nonmetropolitan area,WA,Firefighters,detailed,440,46.70,3.70,1.64,31.11,64710.00,6.70,14.29,23.77,31.04,37.33,46.50,29730.00,49440.00,64550.00,77640.00,96710.00,"",""
43820,Western Washington nonmetropolitan area,WA,Bailiffs,detailed,30,22.10,0.28,2.41,16.80,34940.00,8.40,14.29,14.36,14.46,22.83,22.83,29730.00,29860.00,30070.00,47480.00,47490.00,"",""
43821,Western Washington nonmetropolitan area,WA,Correctional Officers and Jailers,detailed,1440,1.30,12.08,4.33,27.55,57310.00,0.20,22.01,24.36,29.32,30.20,31.20,45770.00,50670.00,60980.00,62810.00,64900.00,"",""
43822,Western Washington nonmetropolitan area,WA,Detectives and Criminal Investigators,detailed,40,4.60,0.37,0.48,48.19,100220.00,0.60,37.16,42.17,44.70,50.74,68.29,77290.00,87710.00,92980.00,105540.00,142040.00,"",""
43823,Western Washington nonmetropolitan area,WA,Police and Sheriff's Patrol Officers,detailed,620,7.70,5.17,1.09,36.03,74950.00,1.40,26.01,29.79,37.96,39.94,45.68,54100.00,61970.00,78960.00,83080.00,95010.00,"",""
43824,Western Washington nonmetropolitan area,WA,Security Guards,detailed,890,12.00,7.41,0.99,27.64,57480.00,18.20,14.76,16.73,17.76,29.73,57.96,30710.00,34800.00,36930.00,61830.00,120560.00,"",""
43825,Western Washington nonmetropolitan area,WA,Crossing Guards and Flaggers,detailed,90,22.00,0.75,1.28,25.77,53600.00,9.70,15.90,15.90,24.03,30.22,30.54,33080.00,33080.00,49990.00,62850.00,63530.00,"",""
43826,Western Washington nonmetropolitan area,WA,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",detailed,40,20.40,0.32,0.39,14.00,29120.00,1.10,13.69,13.69,13.69,13.69,14.17,28480.00,28480.00,28480.00,28480.00,29470.00,"",""
43827,Western Washington nonmetropolitan area,WA,"Protective Service Workers, All Other",detailed,140,15.00,1.21,1.70,20.41,42460.00,3.90,14.56,16.95,18.89,23.00,29.11,30280.00,35260.00,39290.00,47840.00,60550.00,"",""
43828,Western Washington nonmetropolitan area,WA,Food Preparation and Serving Related Occupations,major,12230,2.20,102.32,1.29,17.00,35350.00,1.00,14.03,14.29,14.73,17.82,22.72,29190.00,29720.00,30650.00,37070.00,47250.00,"",""
43829,Western Washington nonmetropolitan area,WA,Chefs and Head Cooks,detailed,130,24.80,1.05,1.14,26.75,55650.00,5.70,17.29,20.15,24.74,30.87,36.41,35970.00,41920.00,51460.00,64210.00,75720.00,"",""
43830,Western Washington nonmetropolitan area,WA,First-Line Supervisors of Food Preparation and Serving Workers,detailed,1250,5.60,10.47,1.42,20.90,43480.00,2.30,14.73,17.07,18.49,23.33,29.68,30640.00,35510.00,38450.00,48520.00,61730.00,"",""
43831,Western Washington nonmetropolitan area,WA,"Cooks, Fast Food",detailed,440,17.70,3.67,0.67,15.41,32050.00,1.20,14.13,14.22,14.62,16.82,17.12,29380.00,29570.00,30420.00,34990.00,35600.00,"",""
43832,Western Washington nonmetropolitan area,WA,"Cooks, Institution and Cafeteria",detailed,490,37.70,4.09,1.47,19.27,40070.00,0.90,14.66,15.38,18.36,22.76,24.22,30490.00,31980.00,38180.00,47340.00,50380.00,"",""
43833,Western Washington nonmetropolitan area,WA,"Cooks, Restaurant",detailed,1320,6.80,11.01,1.30,17.62,36650.00,2.20,14.38,14.84,17.22,18.18,22.31,29920.00,30870.00,35810.00,37820.00,46400.00,"",""
43834,Western Washington nonmetropolitan area,WA,"Cooks, Short Order",detailed,100,13.10,0.83,0.94,17.47,36330.00,2.90,14.01,14.41,17.35,18.49,24.03,29140.00,29980.00,36090.00,38470.00,49970.00,"",""
43835,Western Washington nonmetropolitan area,WA,Food Preparation Workers,detailed,710,7.50,5.91,1.06,16.25,33790.00,1.30,14.09,14.52,14.99,17.32,18.69,29310.00,30200.00,31180.00,36020.00,38870.00,"",""
43836,Western Washington nonmetropolitan area,WA,Bartenders,detailed,690,9.40,5.78,1.68,17.64,36690.00,3.40,13.80,14.09,14.52,18.78,23.52,28690.00,29310.00,30190.00,39060.00,48930.00,"",""
43837,Western Washington nonmetropolitan area,WA,Fast Food and Counter Workers,detailed,4050,3.60,33.85,1.54,15.07,31340.00,0.60,14.02,14.21,14.40,14.88,17.54,29160.00,29560.00,29960.00,30950.00,36480.00,"",""
43838,Western Washington nonmetropolitan area,WA,Waiters and Waitresses,detailed,1610,7.40,13.45,1.05,18.71,38910.00,3.20,13.98,14.14,14.60,22.41,29.50,29080.00,29400.00,30370.00,46620.00,61360.00,"",""
43839,Western Washington nonmetropolitan area,WA,"Food Servers, Nonrestaurant",detailed,290,9.60,2.42,1.40,15.63,32520.00,1.10,14.37,14.58,14.60,16.68,18.01,29880.00,30330.00,30370.00,34700.00,37470.00,"",""
43840,Western Washington nonmetropolitan area,WA,Dining Room and Cafeteria Attendants and Bartender Helpers,detailed,260,18.40,2.21,0.93,15.53,32300.00,1.80,13.69,14.06,14.58,14.84,18.72,28480.00,29250.00,30330.00,30860.00,38940.00,"",""
43841,Western Washington nonmetropolitan area,WA,Dishwashers,detailed,590,16.00,4.92,1.84,15.37,31970.00,2.20,14.03,14.09,14.29,16.21,18.47,29180.00,29310.00,29730.00,33720.00,38410.00,"",""
43842,Western Washington nonmetropolitan area,WA,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",detailed,300,19.70,2.48,1.08,15.20,31610.00,2.60,14.03,14.09,14.19,14.60,17.58,29180.00,29310.00,29520.00,30360.00,36560.00,"",""
43843,Western Washington nonmetropolitan area,WA,Building and Grounds Cleaning and Maintenance Occupations,major,4330,31.80,36.24,1.24,17.63,36670.00,1.00,14.25,14.51,15.80,18.36,23.19,29630.00,30180.00,32850.00,38180.00,48230.00,"",""
43844,Western Washington nonmetropolitan area,WA,First-Line Supervisors of Housekeeping and Janitorial Workers,detailed,100,13.50,0.81,0.74,22.33,46450.00,3.60,14.74,17.86,20.29,24.18,30.16,30660.00,37160.00,42200.00,50290.00,62730.00,"",""
43845,Western Washington nonmetropolitan area,WA,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",detailed,60,16.10,0.47,0.57,29.55,61460.00,7.20,17.67,23.33,28.36,36.96,48.27,36750.00,48520.00,59000.00,76870.00,100400.00,"",""
43846,Western Washington nonmetropolitan area,WA,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",detailed,,,,,17.78,36970.00,0.60,14.25,14.56,16.99,19.96,23.34,29640.00,30270.00,35340.00,41510.00,48560.00,"",""
43847,Western Washington nonmetropolitan area,WA,Maids and Housekeeping Cleaners,detailed,1280,4.60,10.71,2.09,15.48,32200.00,0.70,14.24,14.43,14.55,16.23,18.12,29630.00,30010.00,30270.00,33770.00,37700.00,"",""
43848,Western Washington nonmetropolitan area,WA,Pest Control Workers,detailed,50,6.90,0.46,0.76,23.80,49510.00,2.60,18.09,18.25,22.55,28.52,30.28,37620.00,37960.00,46900.00,59320.00,62990.00,"",""
43849,Western Washington nonmetropolitan area,WA,Landscaping and Groundskeeping Workers,detailed,1020,7.80,8.56,1.35,17.87,37180.00,2.10,14.23,14.60,17.46,18.34,22.92,29600.00,30360.00,36320.00,38150.00,47680.00,"",""
43850,Western Washington nonmetropolitan area,WA,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",detailed,,,,,22.02,45810.00,4.00,18.10,18.47,22.87,23.53,24.10,37650.00,38420.00,47570.00,48950.00,50120.00,"",""
43851,Western Washington nonmetropolitan area,WA,Tree Trimmers and Pruners,detailed,130,45.00,1.06,3.55,22.59,46990.00,29.40,14.92,14.92,15.85,25.67,37.88,31020.00,31020.00,32970.00,53380.00,78790.00,"",""
43852,Western Washington nonmetropolitan area,WA,Personal Care and Service Occupations,major,2360,29.30,19.75,1.08,17.95,37340.00,5.00,14.00,14.24,14.63,19.31,26.14,29110.00,29610.00,30420.00,40170.00,54370.00,"",""
43853,Western Washington nonmetropolitan area,WA,First-Line Supervisors of Gambling Services Workers,detailed,60,1.00,0.50,3.60,27.03,56210.00,0.50,18.45,23.31,26.69,29.35,36.40,38380.00,48490.00,55510.00,61040.00,75700.00,"",""
43854,Western Washington nonmetropolitan area,WA,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",detailed,70,19.80,0.59,1.24,25.17,52360.00,9.20,18.76,18.95,23.40,28.70,37.73,39030.00,39420.00,48680.00,59690.00,78480.00,"",""
43855,Western Washington nonmetropolitan area,WA,First-Line Supervisors of Personal Service Workers,detailed,40,14.80,0.36,0.50,21.80,45350.00,3.90,14.64,18.02,18.93,27.60,29.58,30440.00,37480.00,39370.00,57420.00,61530.00,"",""
43856,Western Washington nonmetropolitan area,WA,Animal Caretakers,detailed,250,8.20,2.08,1.30,16.13,33550.00,1.10,14.09,14.46,14.63,17.72,17.99,29310.00,30080.00,30420.00,36850.00,37410.00,"",""
43857,Western Washington nonmetropolitan area,WA,Amusement and Recreation Attendants,detailed,170,7.80,1.38,0.74,14.56,30290.00,0.70,13.82,13.97,14.14,14.45,16.59,28750.00,29050.00,29400.00,30050.00,34510.00,"",""
43858,Western Washington nonmetropolitan area,WA,"Morticians, Undertakers, and Funeral Arrangers",detailed,40,12.00,0.30,1.68,26.96,56070.00,3.20,18.92,22.59,23.40,30.68,37.35,39350.00,46990.00,48680.00,63820.00,77680.00,"",""
43859,Western Washington nonmetropolitan area,WA,"Hairdressers, Hairstylists, and Cosmetologists",detailed,140,12.00,1.17,0.58,21.13,43950.00,4.00,16.43,17.37,21.74,22.63,27.64,34170.00,36120.00,45220.00,47080.00,57480.00,"",""
43860,Western Washington nonmetropolitan area,WA,Manicurists and Pedicurists,detailed,120,3.80,1.04,1.22,18.96,39440.00,4.40,14.19,14.32,16.98,21.60,27.28,29520.00,29780.00,35320.00,44930.00,56740.00,"",""
43861,Western Washington nonmetropolitan area,WA,Childcare Workers,detailed,210,10.50,1.74,0.56,15.97,33210.00,2.10,13.92,14.09,14.18,17.23,21.91,28950.00,29310.00,29500.00,35840.00,45570.00,"",""
43862,Western Washington nonmetropolitan area,WA,Exercise Trainers and Group Fitness Instructors,detailed,270,5.40,2.24,1.42,22.10,45970.00,4.60,14.12,17.22,22.29,23.12,28.55,29370.00,35820.00,46360.00,48090.00,59380.00,"",""
43863,Western Washington nonmetropolitan area,WA,Recreation Workers,detailed,190,8.20,1.58,0.84,15.81,32880.00,1.00,14.17,14.26,14.61,17.12,18.31,29470.00,29660.00,30390.00,35610.00,38080.00,"",""
43864,Western Washington nonmetropolitan area,WA,Residential Advisors,detailed,60,26.90,0.47,0.72,18.82,39140.00,3.60,13.69,14.56,18.05,22.04,23.35,28480.00,30280.00,37540.00,45850.00,48560.00,"",""
43865,Western Washington nonmetropolitan area,WA,"Personal Care and Service Workers, All Other",detailed,,,,,14.63,30440.00,1.70,14.24,14.24,14.24,14.24,14.24,29610.00,29610.00,29610.00,29610.00,29610.00,"",""
43866,Western Washington nonmetropolitan area,WA,Sales and Related Occupations,major,11630,1.60,97.33,1.03,19.59,40740.00,0.90,13.96,14.19,16.67,21.73,28.94,29030.00,29510.00,34680.00,45190.00,60190.00,"",""
43867,Western Washington nonmetropolitan area,WA,First-Line Supervisors of Retail Sales Workers,detailed,1340,3.30,11.18,1.38,23.51,48910.00,1.40,17.27,18.03,22.35,27.76,34.56,35910.00,37510.00,46480.00,57750.00,71880.00,"",""
43868,Western Washington nonmetropolitan area,WA,First-Line Supervisors of Non-Retail Sales Workers,detailed,100,21.10,0.80,0.46,43.58,90640.00,7.60,23.95,29.78,38.09,51.44,80.13,49820.00,61930.00,79230.00,107000.00,166660.00,"",""
43869,Western Washington nonmetropolitan area,WA,Cashiers,detailed,3660,3.20,30.62,1.30,15.79,32850.00,0.60,13.81,14.02,14.22,16.92,21.31,28710.00,29160.00,29570.00,35190.00,44330.00,"",""
43870,Western Washington nonmetropolitan area,WA,Gambling Change Persons and Booth Cashiers,detailed,50,0.30,0.46,3.75,15.15,31520.00,0.30,13.69,14.26,14.38,16.83,17.79,28480.00,29650.00,29910.00,35000.00,36990.00,"",""
43871,Western Washington nonmetropolitan area,WA,Counter and Rental Clerks,detailed,500,5.50,4.17,1.58,17.45,36300.00,1.70,13.98,14.36,17.11,17.72,22.33,29080.00,29880.00,35580.00,36850.00,46450.00,"",""
43872,Western Washington nonmetropolitan area,WA,Parts Salespersons,detailed,260,5.00,2.21,1.17,18.05,37540.00,1.30,14.17,14.35,17.33,21.60,26.08,29460.00,29850.00,36050.00,44920.00,54250.00,"",""
43873,Western Washington nonmetropolitan area,WA,Retail Salespersons,detailed,3900,1.90,32.66,1.25,16.87,35090.00,0.60,13.95,14.17,14.43,17.50,22.09,29020.00,29480.00,30020.00,36400.00,45950.00,"",""
43874,Western Washington nonmetropolitan area,WA,Advertising Sales Agents,detailed,40,14.80,0.35,0.51,25.04,52080.00,6.90,14.42,14.65,22.50,29.36,42.44,30000.00,30470.00,46800.00,61070.00,88270.00,"",""
43875,Western Washington nonmetropolitan area,WA,Insurance Sales Agents,detailed,170,12.50,1.46,0.49,25.28,52580.00,6.30,18.21,18.31,23.08,29.88,38.05,37870.00,38090.00,48010.00,62150.00,79140.00,"",""
